cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
67000,0,45,1,0,2,4
70000,0,50,1,0,2,4
74000,0,34,1,0,1,4
74000,0,34,1,0,1,4
74000,0,34,1,0,1,4
78000,0,30,1,0,0,4
89000,0,50,1,0,2,4
94000,0,61,1,0,2,4
99000,0,47,1,0,2,4
100000,0,61,1,0,3,4
105000,0,33,1,0,1.5,4
115000,0,57,1,0,3,4
115000,0,44,1,0,1,4
115000,0,25,1,0,0,4
126500,0,71,1,0,3,4
127000,0,59,1,0,2,4
130000,0,55,1,0,2,4
140000,0,70,1,0,2,4
220000,0,84,1,0,3,4
290000,0,102,1,0,5,4
320000,0,95,1,0,3,4
363600,1,110,1,0,4,4
450000,0,136,1,0,4,4
700000,0,140,1,0,5,4
39000,0,48,1,0,2,5
43000,0,68,1,0,3,5
65000,0,32,1,0,1,5
92000,0,51,1,0,2,5
116000,0,69,1,0,3,5
180000,1,60,1,0,3,5
180000,0,100,1,0,3,5
188000,0,66,1,0,2,5
200000,0,70,1,0,3,5
320000,0,95,1,0,3,5
363600,1,101,1,0,4,5
363600,1,101,1,0,4,5
396000,1,94,1,0,3,5
85000,0,28,2,0,0,1
93500,0,33,2,0,1,1
99000,0,54,2,0,2,1
103000,0,32,2,0,1,1
103000,1,33,2,0,0,1
105000,0,79,2,0,3,1
110664,1,46,2,0,2,1
123000,0,48,2,0,2,1
125000,0,44,2,0,1.5,1
135000,0,48,2,0,1.5,1
141000,0,48,2,0,3,1
145000,0,48,2,0,2,1
152500,0,87,2,0,4,1
152791,1,61,2,0,3,1
159000,0,57,2,0,3,1
162570,1,68,2,0,3,1
163000,1,78,2,0,3,1
165000,1,75,2,0,3,1
165000,0,65,2,0,2,1
168000,1,80,2,0,3,1
179040,1,75,2,0,3,1
180000,1,85,2,0,3,1
184555,1,85,2,0,3,1
187000,0,110,2,0,4,1
189000,0,93,2,0,3,1
203000,0,79,2,0,3,1
205000,1,78,2,0,4,1
215000,0,58,2,0,2,1
220000,0,93,2,0,3,1
230000,0,150,2,0,4,1
235000,0,92,2,0,3,1
240000,1,66,2,0,3,1
240000,0,82,2,0,3,1
245000,0,112,2,0,4,1
250000,0,83,2,0,4,1
257000,0,91,2,0,3,1
260000,0,80,2,0,4,1
260000,0,73,2,0,3,1
260000,1,104,2,0,2,1
265000,0,89,2,0,3,1
281000,0,76,2,0,3,1
285000,0,122,2,0,4,1
285000,0,80,2,0,3,1
286416,1,109,2,0,4,1
295000,0,85,2,0,3,1
295000,0,86,2,0,3,1
299000,1,136,2,0,4,1
299000,0,96,2,0,2,1
307000,0,80,2,0,3,1
324900,0,125,2,0,4,1
332500,0,90,2,0,3,1
335000,0,125,2,0,4,1
335000,0,125,2,0,4,1
345000,0,125,2,0,5,1
370000,1,101,2,0,4,1
370000,0,114,2,0,4,1
380000,1,150,2,0,5,1
399000,0,114,2,0,3,1
425000,0,107,2,0,4,1
470000,0,144,2,0,5,1
585000,0,101,2,0,3,1
850000,0,700,2,0,5,1
34999,1,18,2,0,0,2
68000,0,30,2,0,0,2
