cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
43000,0,Novi Grad,30,1,0,1,4
64000,0,Opcina Centar,29,1,0,1,4
67000,0,Opcina Centar,45,1,0,2,4
70000,0,Opcina Centar,50,1,0,2,4
74000,0,Opcina Centar,34,1,0,1,4
74000,0,Opcina Centar,34,1,0,1,4
74000,0,Opcina Centar,34,1,0,1,4
78000,0,Opcina Centar,30,1,0,0,4
89000,0,Novi Grad,50,1,0,2,4
94000,0,Novi Grad,61,1,0,2,4
99000,0,Novi Grad,47,1,0,2,4
100000,0,Stari Grad,61,1,0,3,4
105000,0,Opcina Centar,33,1,0,1.5,4
115000,0,Opcina Centar,57,1,0,3,4
115000,0,Stari Grad,44,1,0,1,4
115000,0,Opcina Centar,25,1,0,0,4
126500,0,Novi Grad,71,1,0,3,4
127000,0,Novi Grad,59,1,0,2,4
130000,0,Stari Grad,55,1,0,2,4
140000,0,Vogosca,70,1,0,2,4
220000,0,Opcina Centar,84,1,0,3,4
290000,0,Stari Grad,102,1,0,5,4
320000,0,Opcina Centar,95,1,0,3,4
363600,1,Opcina Centar,110,1,0,4,4
450000,0,Opcina Centar,136,1,0,4,4
700000,0,Stari Grad,140,1,0,5,4
39000,0,Ilijas,48,1,0,2,5
43000,0,Novi Grad,68,1,0,3,5
65000,0,Opcina Centar,32,1,0,1,5
92000,0,Novi Grad,51,1,0,2,5
116000,0,Vogosca,69,1,0,3,5
180000,1,Ilidza,60,1,0,3,5
180000,0,Novo Sarajevo,100,1,0,3,5
188000,0,Opcina Centar,66,1,0,2,5
200000,0,Stari Grad,70,1,0,3,5
320000,0,Opcina Centar,95,1,0,3,5
363600,1,Opcina Centar,101,1,0,4,5
363600,1,Opcina Centar,101,1,0,4,5
396000,1,Opcina Centar,94,1,0,3,5
85000,0,Opcina Centar,28,2,0,0,1
93500,0,Opcina Centar,33,2,0,1,1
99000,0,Vogosca,54,2,0,2,1
103000,0,Stari Grad,32,2,0,1,1
103000,1,Stari Grad,33,2,0,0,1
105000,0,Ilidza,79,2,0,3,1
110664,1,Novi Grad,46,2,0,2,1
123000,0,Opcina Centar,48,2,0,2,1
125000,0,Novo Sarajevo,44,2,0,1.5,1
135000,0,Opcina Centar,48,2,0,1.5,1
141000,0,Stari Grad,48,2,0,3,1
145000,0,Stari Grad,48,2,0,2,1
152500,0,Novi Grad,87,2,0,4,1
152791,1,Novi Grad,61,2,0,3,1
159000,0,Ilidza,57,2,0,3,1
162570,1,Novi Grad,68,2,0,3,1
163000,1,Ilidza,78,2,0,3,1
165000,1,Ilidza,75,2,0,3,1
165000,0,Opcina Centar,65,2,0,2,1
168000,1,Ilidza,80,2,0,3,1
179040,1,Novi Grad,75,2,0,3,1
180000,1,Novi Grad,85,2,0,3,1
184555,1,Novi Grad,85,2,0,3,1
187000,0,Stari Grad,110,2,0,4,1
189000,0,Stari Grad,93,2,0,3,1
203000,0,Opcina Centar,79,2,0,3,1
205000,1,Novo Sarajevo,78,2,0,4,1
215000,0,Stari Grad,58,2,0,2,1
220000,0,Stari Grad,93,2,0,3,1
230000,0,Novo Sarajevo,150,2,0,4,1
235000,0,Stari Grad,92,2,0,3,1
240000,1,Opcina Centar,66,2,0,3,1
240000,0,Opcina Centar,82,2,0,3,1
245000,0,Opcina Centar,112,2,0,4,1
250000,0,Opcina Centar,83,2,0,4,1
257000,0,Ilidza,91,2,0,3,1
260000,0,Opcina Centar,80,2,0,4,1
260000,0,Stari Grad,73,2,0,3,1
260000,1,Opcina Centar,104,2,0,2,1
265000,0,Stari Grad,89,2,0,3,1
281000,0,Opcina Centar,76,2,0,3,1
285000,0,Stari Grad,122,2,0,4,1
285000,0,Opcina Centar,80,2,0,3,1
286416,1,Opcina Centar,109,2,0,4,1
295000,0,Stari Grad,85,2,0,3,1
295000,0,Opcina Centar,86,2,0,3,1
